Microregião,CNPJ,Cod_Cliente1,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,Pode Sanear Micro?,Códigos a retirar,Comentario E.I.
VC-PIRES DO RIO,37020260000139,1532362,0,1,0,2,"CÓDIGO: 6135560, CÓDIGO: 6135561, CÓDIGO: 6132939",,,
VC-POCOS DE CALDAS,41256599000106,1618185,0,2,0,0,"CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-PONTA GROSSA,27138363000144,1595667,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-PORTO FRANCO,08433250000127,1189281,0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-PORTO VELHO,44769844000177,1642276,0,3,0,1,"CÓDIGO: 6054187, CÓDIGO: 6120895, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-RECIFE,40166451000118,1627227,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-REDENCAO,23732026000120,1620351,0,3,0,1,"CÓDIGO: 6135560, CÓDIGO: 6111677, CÓDIGO: 6054178, CÓDIGO: 6160545",,,
VC-RIO BRANCO,24627814000119,1641040,0,2,0,0,"CÓDIGO: 6120895, CÓDIGO: 6165750",,,
VC-RIO CLARO,12787111000179,1562533,2,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6054172, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-RIO DO SUL,11456823000142,1635721,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-S JOAO BOA VISTA,20025897000115,1627422,1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-S JOSE CAMPOS,21450912000135,1648017,1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-S JOSE DO R PRET,27752797000130,1626321,1,2,0,0,"CÓDIGO: 6172139, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-S MIGUEL ARAGUAI,22728717000197,1515576,0,1,0,2,"CÓDIGO: 6135560, CÓDIGO: 6135561, CÓDIGO: 6132939",,,
VC-S RAIMUNDO NONAT,69005858000145,1605984,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SALVADOR,45289076000117,1650044,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-SANANDUVA,42650992000142,1634344,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SANTA ROSA,23982091000103,1546901,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SANTO ANGELO,43596644000105,1637487,2,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054204, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SAO MIGUEL D EST,34425619000160,1633137,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-SAO PAULO,31157385000129,1648253,1,3,0,0,"CÓDIGO: 6054172, CÓDIGO: 6187066, CÓDIGO: 6165750, CÓDIGO: 6054180",,,
VC-SERRANA,41806564000101,1646680,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599",,,
VC-SERTAO DO MOXOTO,14423650000154,1624910,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-SINOP,41938922000121,1612606,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-SOLEDADE,11380954000193,1529100,0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-STA MARIA VITORI,42741823000118,1650367,0,2,0,1,"CÓDIGO: 6135560, CÓDIGO: 8020800, CÓDIGO: 8018790",,,
VC-SUDOESTE DE GOIA,02635833001045,1642201,2,1,0,0,"CÓDIGO: 6054184, CÓDIGO: 6172311, CÓDIGO: 6135560",,,
VC-TABULEIRO,28335994000116,1542142,0,2,0,0,"CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-TANGARA DA SERRA,13281186000146,1546874,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-TIJUCAS,15609494000183,1529840,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-TOME-ACU,18785185000152,1553294,0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-TRES LAGOAS,28923663000288,1624286,0,3,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750",,,
VC-TRES PASSOS,97320451010968,1601426,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-VALE DO IPANEMA,44169513000104,1635630,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-VALE DO IPOJUCA,10230480003075,1592352,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-VALE PARAI FLUMI,34284834000198,1603799,2,1,0,1,"CÓDIGO: 6187067, CÓDIGO: 6112143, CÓDIGO: 6187066, CÓDIGO: 6162599",,,
VC-VAO DO PARANA,20735589000183,1556846,0,1,0,2,"CÓDIGO: 6135560, CÓDIGO: 6132939, CÓDIGO: 8020801",,,
VC-VARZEA ALEGRE,41569794000196,1627603,2,1,0,0,"CÓDIGO: 6161835, CÓDIGO: 6187345, CÓDIGO: 6111677",,,
VC-VILHENA,35421080000133,1645981,1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6132938",,,
VC-VITORIA ST ANTAO,15388400000193,1311941,1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6054188, CÓDIGO: 6054178",,,
VC-WESCESLAU BRAZ,14943846000170,1484690,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054180",,,
VC-XANXERE,81546988000190,1625561,1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
